Symbol,Date,Open,High,Low,Close,Volume,OpenInt
TRV,03-Jan-2017 09:30,123.07,123.07,121.33,121.49,161168
TRV,03-Jan-2017 09:45,121.67,121.76,121.43,121.66,11465
TRV,03-Jan-2017 10:00,121.21,121.54,121,121.38,41758
TRV,03-Jan-2017 10:15,121.43,121.59,121.36,121.49,24252
TRV,03-Jan-2017 10:30,121.52,121.55,120.81,120.85,43579
TRV,03-Jan-2017 10:45,120.84,120.87,120.37,120.41,85792
TRV,03-Jan-2017 11:00,120.41,120.47,120.31,120.44,25207
TRV,03-Jan-2017 11:15,120.35,120.83,120.26,120.72,49355
TRV,03-Jan-2017 11:30,120.72,120.84,120.63,120.78,36525
TRV,03-Jan-2017 11:45,120.8,121.06,120.69,121.01,27783
TRV,03-Jan-2017 12:00,121.01,121.03,120.87,120.99,23732
TRV,03-Jan-2017 12:15,121.01,121.01,120.75,120.75,32039
TRV,03-Jan-2017 12:30,120.76,120.93,120.71,120.8,22158
TRV,03-Jan-2017 12:45,120.84,121,120.8,120.88,16590
TRV,03-Jan-2017 13:00,120.89,120.95,120.62,120.86,38765
TRV,03-Jan-2017 13:15,120.88,121.06,120.88,121.02,18763
TRV,03-Jan-2017 13:30,121,121.01,120.82,120.88,23240
TRV,03-Jan-2017 13:45,120.87,120.91,120.7,120.72,33793
TRV,03-Jan-2017 14:00,120.72,120.92,120.72,120.84,33101
TRV,03-Jan-2017 14:15,120.82,120.92,120.73,120.75,24808
TRV,03-Jan-2017 14:30,120.75,120.77,120.55,120.72,37981
TRV,03-Jan-2017 14:45,120.74,120.81,120.67,120.72,48035
TRV,03-Jan-2017 15:00,120.71,120.97,120.71,120.83,30835
TRV,03-Jan-2017 15:15,120.83,120.85,120.55,120.7,59078
TRV,03-Jan-2017 15:30,120.71,120.94,120.54,120.89,80345
TRV,03-Jan-2017 15:45,120.9,121,120.84,120.93,179252
TRV,03-Jan-2017 16:00,120.93,120.93,120.9,120.9,391642
TRV,04-Jan-2017 09:30,120.87,121.68,120.85,121.45,72491
TRV,04-Jan-2017 09:45,121.6,121.63,121.05,121.18,51983
TRV,04-Jan-2017 10:00,121.21,121.41,121.17,121.23,16574
TRV,04-Jan-2017 10:15,121.1,121.18,121.03,121.1,11265
TRV,04-Jan-2017 10:30,120.93,121.05,120.91,121.04,4399
TRV,04-Jan-2017 10:45,121.04,121.04,121.04,121.04,100
TRV,04-Jan-2017 11:00,120.99,121.15,120.96,120.98,33282
TRV,04-Jan-2017 11:15,121.02,121.02,120.83,120.84,20453
TRV,04-Jan-2017 11:30,120.69,120.71,120.6,120.63,35165
TRV,04-Jan-2017 11:45,120.61,120.62,120.45,120.55,13971
TRV,04-Jan-2017 12:00,120.51,120.62,120.49,120.59,30155
TRV,04-Jan-2017 12:15,120.58,120.62,120.47,120.49,19116
TRV,04-Jan-2017 12:30,120.59,120.62,120.47,120.5,15652
TRV,04-Jan-2017 12:45,120.49,120.54,120.46,120.48,18990
TRV,04-Jan-2017 13:00,120.45,120.55,120.44,120.54,8904
TRV,04-Jan-2017 13:15,120.64,120.64,120.59,120.59,4209
TRV,04-Jan-2017 13:30,120.6,120.6,120.59,120.59,600
TRV,04-Jan-2017 13:45,120.46,120.54,120.43,120.49,27804
TRV,04-Jan-2017 14:00,120.51,120.54,120.34,120.41,28966
TRV,04-Jan-2017 14:15,120.51,120.69,120.51,120.64,29681
TRV,04-Jan-2017 14:30,120.64,120.64,120.64,120.64,400
TRV,04-Jan-2017 14:45,120.66,120.7,120.6,120.69,33884
TRV,04-Jan-2017 15:00,120.69,120.69,120.69,120.69,100
TRV,04-Jan-2017 15:15,120.66,120.67,120.65,120.67,1018
TRV,04-Jan-2017 15:30,120.57,120.61,120.5,120.5,61597
TRV,04-Jan-2017 15:45,120.47,120.5,120.39,120.42,120910
TRV,04-Jan-2017 16:00,120.25,120.78,120.25,120.25,122404
TRV,05-Jan-2017 09:15,120.25,120.25,118.57,118.57,1164
TRV,05-Jan-2017 09:30,119.29,119.45,118.75,118.79,144277
TRV,05-Jan-2017 09:45,118.92,119.5,118.92,119.39,79236
TRV,05-Jan-2017 10:00,119.39,119.5,118.78,118.79,108315
TRV,05-Jan-2017 10:15,118.78,118.94,118.5,118.68,156325
TRV,05-Jan-2017 10:30,118.9,119.13,118.87,118.91,93665
TRV,05-Jan-2017 10:45,118.8,118.8,118.65,118.65,26410
TRV,05-Jan-2017 11:00,118.61,118.65,118.5,118.5,39456
TRV,05-Jan-2017 11:15,117.97,118.02,117.92,117.94,38597
TRV,05-Jan-2017 11:30,117.69,117.72,117.54,117.6,57008
TRV,05-Jan-2017 11:45,117.89,118.04,117.88,117.92,32131
TRV,05-Jan-2017 12:00,117.97,118.07,117.89,118.07,49195
TRV,05-Jan-2017 12:15,118.07,118.07,118.07,118.07,100
TRV,05-Jan-2017 12:30,118.32,118.46,118.32,118.45,13666
TRV,05-Jan-2017 12:45,118.32,118.35,118.13,118.13,54361
TRV,05-Jan-2017 13:00,118.11,118.23,118.11,118.17,16139
TRV,05-Jan-2017 13:15,118.09,118.15,118.06,118.1,26945
TRV,05-Jan-2017 13:30,118.1,118.1,118.1,118.1,100
